2673,Economic and Financial Affairs,2005-07-15,2005-07-15,Tamás Katona,MF,State secretary,MSZP,0,Ferenc Gyurcsány 1
2674,General Affairs,2005-07-18,2005-07-18,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2675,External Relations,2005-07-18,2005-07-18,András Bársony,MFA,"Political State Secretary, Ministry of Foreign Affairs",MSZP,0,Ferenc Gyurcsány 1
2676,Agriculture and Fisheries,2005-07-18,2005-07-18,József Gráf,MARD,Minister of Agriculture and Rural Development,MSZP,1,Ferenc Gyurcsány 1
2677,Agriculture and Fisheries,2005-09-19,2005-09-20,József Gráf,MARD,Minister of Agriculture and Rural Development,MSZP,1,Ferenc Gyurcsány 1
2678,General Affairs,2005-10-03,2005-10-03,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2679,External Relations,2005-10-03,2005-10-03,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2680,"Transport, Telecommunications and Energy",2005-10-06,2005-10-06,Egon Dienes-Oehm,PerRep,Deputy permanent representative,KDNP,0,Ferenc Gyurcsány 1
2681,Competitiveness,2005-10-11,2005-10-11,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2681,Competitiveness,2005-10-11,2005-10-11,Miklós Boda,MRT,"State Secretary, Ministry of Research and Technology",?,1,Ferenc Gyurcsány 1
2682,Economic and Financial Affairs,2005-10-11,2005-10-11,János Veres,MF,Minister for Finance,MSZP,1,Ferenc Gyurcsány 1
2683,Justice and Home Affairs,2005-10-12,2005-10-12,Miklós Faragó,MJ,"Political State Secretary, Ministry of Justice",SZDSZ,0,Ferenc Gyurcsány 1
2683,Justice and Home Affairs,2005-10-12,2005-10-12,Krisztina Berta,MI,Deputy State Secretary for EU and international affairs,bezp.,0,Ferenc Gyurcsány 1
2684,Environment,2005-10-17,2005-10-17,Miklós Persányi,MEWM,Minister for the Environment and Water Management,bezp.,1,Ferenc Gyurcsány 1
2685,Agriculture and Fisheries,2005-10-24,2005-10-25,József Gráf,MARD,Minister of Agriculture and Rural Development,MSZP,1,Ferenc Gyurcsány 1
2685,Agriculture and Fisheries,2005-10-24,2005-10-25,Egon Dienes-Oehm,PerRep,Deputy permanent representative,KDNP,1,Ferenc Gyurcsány 1
2686,General Affairs,2005-11-07,2005-11-07,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2686,General Affairs,2005-11-07,2005-11-07,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2687,External Relations,2005-11-07,2005-11-07,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2687,External Relations,2005-11-07,2005-11-07,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2688,Economic and Financial Affairs,2005-11-08,2005-11-08,János Veres,MF,Minister for Finance,MSZP,1,Ferenc Gyurcsány 1
2689,"Education, Youth, Culture and Sport",2005-11-14,2005-11-15,András Bozóki,MCH,Minister for Cultural Heritage,bezp.,1,Ferenc Gyurcsány 1
2689,"Education, Youth, Culture and Sport",2005-11-14,2005-11-15,Egon Dienes-Oehm,PerRep,Deputy permanent representative,KDNP,1,Ferenc Gyurcsány 1
2690,General Affairs,2005-11-21,2005-11-21,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2690,General Affairs,2005-11-21,2005-11-21,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2691,External Relations,2005-11-21,2005-11-22,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2691,External Relations,2005-11-21,2005-11-22,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2691,External Relations,2005-11-21,2005-11-22,László Fapál,MD,"Administrative State Secretary, Ministry of Defence",bezp.,1,Ferenc Gyurcsány 1
2691,External Relations,2005-11-21,2005-11-22,András Bársony,MFA,"Political State Secretary, Ministry of Foreign Affairs",MSZP,1,Ferenc Gyurcsány 1
2692,Agriculture and Fisheries,2005-11-22,2005-11-24,József Gráf,MARD,Minister of Agriculture and Rural Development,MSZP,1,Ferenc Gyurcsány 1
2693,Economic and Financial Affairs,2005-11-24,2005-11-24,Tamás Katona,MF,State secretary,MSZP,0,Ferenc Gyurcsány 1
2694,Competitiveness,2005-11-28,2005-11-29,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2694,Competitiveness,2005-11-28,2005-11-29,Miklós Boda,MRT,"State Secretary, Ministry of Research and Technology",?,1,Ferenc Gyurcsány 1
2695,"Transport, Telecommunications and Energy",2005-12-01,2005-12-01,Mihály Jambrik,MIC,"Administrative State Secretary, Ministry of Informatics and Communications",bezp.,0,Ferenc Gyurcsány 1
2696,Justice and Home Affairs,2005-12-01,2005-12-02,József Petrétei,MJLE,Minister of Justice and Law Enforcement,bezp.,1,Ferenc Gyurcsány 1
2697,Environment,2005-12-02,2005-12-02,Miklós Persányi,MEWM,Minister for the Environment and Water Management,bezp.,1,Ferenc Gyurcsány 1
2698,Economic and Financial Affairs,2005-12-06,2005-12-06,János Veres,MF,Minister for Finance,MSZP,1,Ferenc Gyurcsány 1
2699,"Employment, Social Policy, Health and Consumer Affairs",2005-12-08,2005-12-09,Gábor Csizmár,MLE,"State Secretary, Ministry of Labour and Employment",MSZP,1,Ferenc Gyurcsány 1
2699,"Employment, Social Policy, Health and Consumer Affairs",2005-12-08,2005-12-09,Jenő Rácz,MH,Minister for Health,bezp.,1,Ferenc Gyurcsány 1
2700,General Affairs,2005-12-12,2005-12-12,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2701,External Relations,2005-12-12,2005-12-12,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2702,Agriculture and Fisheries,2005-12-20,2005-12-22,András Pásztohy,MARD,"Political State Secretary, Ministry of Agriculture and Rural Development",MSZP,0,Ferenc Gyurcsány 1
2703,Agriculture and Fisheries,2006-01-23,2006-01-23,József Gráf,MARD,Minister of Agriculture and Rural Development,MSZP,1,Ferenc Gyurcsány 1
2704,Economic and Financial Affairs,2006-01-24,2006-01-24,János Veres,MF,Minister for Finance,MSZP,1,Ferenc Gyurcsány 1
2705,General Affairs,2006-01-30,2006-01-30,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2706,External Relations,2006-01-30,2006-01-31,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2707,Economic and Financial Affairs,2006-02-14,2006-02-14,János Veres,MF,Minister for Finance,MSZP,1,Ferenc Gyurcsány 1
2708,Agriculture and Fisheries,2006-02-20,2006-02-20,József Gráf,MARD,Minister of Agriculture and Rural Development,MSZP,1,Ferenc Gyurcsány 1
2709,Justice and Home Affairs,2006-02-21,2006-02-21,Gábor Juhász,MI,"Political State Secretary, Ministry of the Interior",MSZP,0,Ferenc Gyurcsány 1
2709,Justice and Home Affairs,2006-02-21,2006-02-21,Miklós Faragó,MJ,"Political State Secretary, Ministry of Justice",SZDSZ,0,Ferenc Gyurcsány 1
